Timestamp,Caller,Directory,Script,ElapsedSeconds
2025-04-24 16:32:11,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR_plot.R,38
2025-04-24 16:32:30,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR.R,19
2025-04-24 16:33:05,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/300_30_10,S4BR_plot.R,35
2025-04-24 16:33:38,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR.R,32
2025-04-24 16:34:15,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR_plot.R,37
2025-04-24 16:34:44,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR.R,29
2025-04-24 16:35:19,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR_plot.R,35
2025-04-24 16:35:42,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR.R,23
2025-04-24 16:36:22,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR_plot.R,40
2025-04-24 16:36:43,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR.R,21
2025-04-24 16:37:25,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR_plot.R,42
2025-04-24 16:37:43,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR.R,18
2025-04-24 16:38:20,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/700_70_10,S4BR_plot.R,37
2025-04-24 16:38:51,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR.R,31
2025-04-24 16:39:29,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR_plot.R,38
2025-04-24 16:40:01,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR.R,32
2025-04-24 16:40:36,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR_plot.R,35
2025-04-24 16:41:00,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR.R,24
2025-04-24 16:41:37,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR_plot.R,37
2025-04-24 16:41:59,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR.R,22
2025-04-24 16:42:38,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR_plot.R,39
2025-04-24 16:42:56,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR.R,18
2025-04-24 16:43:34,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/1000_100_10,S4BR_plot.R,38
2025-04-24 16:44:06,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR.R,32
2025-04-24 16:44:46,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR_plot.R,40
2025-04-24 16:45:31,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR.R,45
2025-04-24 16:46:09,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR_plot.R,38
2025-04-24 16:46:34,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR.R,25
2025-04-24 16:47:17,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR_plot.R,43
2025-04-24 16:47:40,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR.R,23
2025-04-24 16:48:21,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR_plot.R,41
2025-04-24 16:48:39,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR.R,18
2025-04-24 16:49:21,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/3000_300_10,S4BR_plot.R,42
2025-04-24 16:49:38,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR.R,17
2025-04-24 16:50:22,Mutect2,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR_plot.R,44
2025-04-24 16:51:18,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR.R,56
2025-04-24 16:51:58,Freebayes,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR_plot.R,40
2025-04-24 16:52:23,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR.R,25
2025-04-24 16:53:06,VarDict,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR_plot.R,43
2025-04-24 16:53:29,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR.R,23
2025-04-24 16:54:12,VarScan,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR_plot.R,43
2025-04-24 16:54:31,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR.R,19
2025-04-24 16:55:13,LoFreq,/mnt/c/Users/sfragkoul/Desktop/synth_data/coverage_test/5000_500_10,S4BR_plot.R,42
